Question,Given an Excel sheet with columns for Red and NIR reflectance values, write Python code to compute NDVI for each row and assign a land cover category (‘vegetation’, ‘urban’, or ‘transition’) based on NDVI thresholds.

"Participant Id","Display Name","Submitted At","Opinion Id","Opinion","Rank","Of","Rating","Votes","Created At"
"68fe73c59f9cd61e548cf286","Participant 6","26 Oct 2025, 07:17 pm","68f963b0e3c81a9869bcb461","option_3",1,4,100,5,"22 Oct 2025, 11:07 pm"
"68fe73c59f9cd61e548cf286","Participant 6","26 Oct 2025, 07:17 pm","68f963bcc9f4b37f1ae91dbc","option_4",2,4,50,5,"22 Oct 2025, 11:07 pm"
"68fe73c59f9cd61e548cf286","Participant 6","26 Oct 2025, 07:17 pm","68f9632ac9f4b37f1ae91225","option_1",3,4,33.333333333333336,5,"22 Oct 2025, 11:05 pm"
"68fe73c59f9cd61e548cf286","Participant 6","26 Oct 2025, 07:17 pm","68f963a4e3c81a9869bcb182","option_2",4,4,25,5,"22 Oct 2025, 11:07 pm"
"68fd4a189f9cd61e547aa345","Participant 5","25 Oct 2025, 10:07 pm","68f963b0e3c81a9869bcb461","option_3",1,4,100,5,"22 Oct 2025, 11:07 pm"
"68fd4a189f9cd61e547aa345","Participant 5","25 Oct 2025, 10:07 pm","68f963bcc9f4b37f1ae91dbc","option_4",2,4,50,5,"22 Oct 2025, 11:07 pm"
"68fd4a189f9cd61e547aa345","Participant 5","25 Oct 2025, 10:07 pm","68f9632ac9f4b37f1ae91225","option_1",3,4,33.333333333333336,5,"22 Oct 2025, 11:05 pm"
"68fd4a189f9cd61e547aa345","Participant 5","25 Oct 2025, 10:07 pm","68f963a4e3c81a9869bcb182","option_2",4,4,25,5,"22 Oct 2025, 11:07 pm"
"68fcd3e79f9cd61e546bb566","Participant 4","25 Oct 2025, 01:43 pm","68f963bcc9f4b37f1ae91dbc","option_4",1,4,100,5,"22 Oct 2025, 11:07 pm"
"68fcd3e79f9cd61e546bb566","Participant 4","25 Oct 2025, 01:43 pm","68f963b0e3c81a9869bcb461","option_3",2,4,50,5,"22 Oct 2025, 11:07 pm"
"68fcd3e79f9cd61e546bb566","Participant 4","25 Oct 2025, 01:43 pm","68f963a4e3c81a9869bcb182","option_2",3,4,33.333333333333336,5,"22 Oct 2025, 11:07 pm"
"68fcd3e79f9cd61e546bb566","Participant 4","25 Oct 2025, 01:43 pm","68f9632ac9f4b37f1ae91225","option_1",4,4,25,5,"22 Oct 2025, 11:05 pm"
"68fbf8659f9cd61e54566273","Participant 3","24 Oct 2025, 10:06 pm","68f963b0e3c81a9869bcb461","option_3",1,4,100,5,"22 Oct 2025, 11:07 pm"
"68fbf8659f9cd61e54566273","Participant 3","24 Oct 2025, 10:06 pm","68f9632ac9f4b37f1ae91225","option_1",2,4,50,5,"22 Oct 2025, 11:05 pm"
"68fbf8659f9cd61e54566273","Participant 3","24 Oct 2025, 10:06 pm","68f963a4e3c81a9869bcb182","option_2",3,4,33.333333333333336,5,"22 Oct 2025, 11:07 pm"
"68fbf8659f9cd61e54566273","Participant 3","24 Oct 2025, 10:06 pm","68f963bcc9f4b37f1ae91dbc","option_4",4,4,25,5,"22 Oct 2025, 11:07 pm"
"68fa19a8c86391f689a2abc9","Participant 2","23 Oct 2025, 12:03 pm","68f9632ac9f4b37f1ae91225","option_1",1,4,100,5,"22 Oct 2025, 11:05 pm"
"68fa19a8c86391f689a2abc9","Participant 2","23 Oct 2025, 12:03 pm","68f963a4e3c81a9869bcb182","option_2",2,4,50,5,"22 Oct 2025, 11:07 pm"
"68fa19a8c86391f689a2abc9","Participant 2","23 Oct 2025, 12:03 pm","68f963b0e3c81a9869bcb461","option_3",3,4,33.333333333333336,5,"22 Oct 2025, 11:07 pm"
"68fa19a8c86391f689a2abc9","Participant 2","23 Oct 2025, 12:03 pm","68f963bcc9f4b37f1ae91dbc","option_4",4,4,25,5,"22 Oct 2025, 11:07 pm"
